,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
5,Honda City Aspire Prosmatec 1.5 i-VTEC,3600000,Karachi,2016,45000,Petrol,Automatic,Karachi,Unlisted,Local,1500,Medium,Low
6,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,6475000,Lahore,2022,59500,Petrol,Automatic,Lahore,Super White,Local,1800,High,Medium
8,Honda City Aspire Prosmatec 1.5 i-VTEC,4250000,Karachi,2019,22000,Petrol,Automatic,Karachi,Unlisted,Local,1500,High,Low
9,Honda Civic 1.8 i-VTEC CVT,5200000,Lahore,2019,58000,Petrol,Automatic,Sindh,Burgundy,Local,1800,High,Medium
11,Honda Civic VTi Prosmatec 1.8 i-VTEC,3695000,Lahore,2013,75504,Petrol,Automatic,Lahore,Indigo,Local,1800,Medium,Medium
14,Suzuki Alto VXL AGS,3000000,Karachi,2022,14000,Petrol,Automatic,Karachi,Graphite Grey,Local,660,Medium,Low
15,Honda City i-DSI,1750000,Bahawalpur,2004,210000,Petrol,Not Available,Punjab,Metallic Grey,Local,1300,Low,High
17,Suzuki Alto VXR,860000,Karachi,2011,35000,Petrol,Not Available,Sindh,Silky Silver,Local,1000,Low,Low
19,DFSK Glory 580 Pro,5350000,Karachi,2021,16800,Petrol,Automatic,Sindh,Black,Imported,1500,High,Low
20,Honda Civic VTi Oriel 1.6,1700000,Haripur,2006,200000,Petrol,Not Available,Lahore,Silver,Imported,1600,Low,High
21,Suzuki Cultus VXRi,1300000,Lahore,2012,150000,Petrol,Not Available,Sindh,Green,Local,1000,Low,High
22,Suzuki Alto,295000,Charsadda,1991,200000,Not Available,Not Available,Lahore,Red,Local,660,Low,High
27,Toyota Vitz F 1.0,1600000,Swabi,2000,85000,Petrol,Automatic,Islamabad,Pink,Imported,1000,Low,Medium
28,Honda Vezel Hybrid Z,6900000,Daska,2018,100000,Hybrid,Automatic,Un-Registered,White,Imported,1500,High,Medium
29,Toyota Corolla GLi 1.3 VVTi,2120000,Lahore,2009,169146,Petrol,Not Available,Karachi,Gold,Local,1300,Low,High
30,Nissan Sunny,650000,Rawalpindi,1999,100000,Not Available,Not Available,Sindh,White,Imported,1600,Low,Medium
33,Toyota Aqua S,3650000,Lahore,2017,140000,Hybrid,Automatic,Islamabad,Silver,Imported,1500,Medium,High
34,Honda Civic Oriel 1.8 i-VTEC CVT,5490000,Karachi,2020,55000,Petrol,Automatic,Karachi,Maroon,Local,1800,High,Medium
35,Suzuki Wagon R VXL,2250000,Lahore,2018,135000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,Medium,High
36,Honda City 1.3 i-VTEC,2700000,Lahore,2013,119000,Petrol,Not Available,Lahore,Modern Steel Metallic,Local,1300,Medium,High
37,Mercedes Benz C Class C180,2800000,Rawalpindi,2007,185000,Petrol,Automatic,Lahore,Blue,Imported,1800,Medium,High
40,Suzuki Cultus EURO II,1590000,Karachi,2015,49000,Petrol,Not Available,Karachi,Silky Silver,Local,1000,Low,Low
42,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3250000,Karachi,2013,68000,Petrol,Automatic,Karachi,Grey,Local,1800,Medium,Medium
43,Toyota Yaris ATIV CVT 1.3,4100000,Karachi,2020,42000,Petrol,Automatic,Karachi,Super White,Local,1300,High,Low
47,Honda City Aspire 1.5 i-VTEC,2950000,Lahore,2014,87000,Petrol,Not Available,Lahore,Ralley Red,Local,1500,Medium,Medium
48,Honda City 1.2L CVT,4525000,Lahore,2022,13400,Petrol,Automatic,Lahore,Taffeta White,Local,1200,High,Low
51,Toyota Corolla,900000,Karachi,2008,100000,Petrol,Not Available,Sindh,White,Local,1300,Low,Medium
52,Suzuki Alto VXR (CNG),1250000,Rawalpindi,2009,119000,Petrol,Not Available,Islamabad,White,Local,1000,Low,High
53,Toyota Corolla,800000,Peshawar,2013,110000,Petrol,Not Available,Peshawar,Silver,Imported,1200,Low,High
54,Toyota Corolla XLi VVTi,2390000,Gujranwala,2012,95000,Petrol,Not Available,Lahore,White,Local,1300,Medium,Medium
55,Toyota Corolla,3800000,Islamabad,2007,125000,Petrol,Automatic,Islamabad,White,Imported,1500,Medium,High
56,Suzuki Mehran VXR Euro II,1200000,Dadu,2017,55000,Petrol,Not Available,Badin,Silver,Local,800,Low,Medium
58,Honda City 1.3 i-VTEC Prosmatec,3725000,Islamabad,2018,45000,Petrol,Automatic,Punjab,White,Local,1300,Medium,Low
61,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,7525000,Lahore,2023,6500,Petrol,Automatic,Punjab,Silver Metallic,Local,1800,High,Low
67,Suzuki Alto VXR,2325000,Karachi,2021,21000,Petrol,Not Available,Sindh,Solid White,Local,660,Medium,Low
69,Honda City 1.3 i-VTEC Prosmatec,4050000,Lahore,2020,42754,Petrol,Automatic,Lahore,Lunar Silver Metallic,Local,1300,High,Low
70,Suzuki Alto VXL AGS,2700000,Karachi,2020,52000,Petrol,Automatic,Karachi,Silky Silver,Local,660,Medium,Medium
71,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior,6800000,Toba tek singh,2022,44000,Petrol,Automatic,Islamabad,Super White,Local,1800,High,Low
72,Honda Civic VTi Prosmatec 1.8 i-VTEC,1950000,Rawalpindi,2008,254685,Petrol,Automatic,Islamabad,Black,Local,1800,Low,High
73,Suzuki Alto VXR,990000,Lahore,2009,100000,Petrol,Not Available,Lahore,Indica,Local,1000,Low,Medium
75,Honda Civic VTi 1.8 i-VTEC,1960000,Rawalpindi,2008,217000,Petrol,Not Available,Islamabad,White,Local,1800,Low,High
76,Toyota Corolla GLi Automatic 1.6 VVTi,2350000,Abbottabad,2011,107560,Petrol,Automatic,Sindh,Silver,Local,1300,Medium,High
80,Suzuki Alto VXR,2430000,Karachi,2022,41000,Petrol,Not Available,Sindh,Silky Silver,Local,660,Medium,Low
83,Toyota Corolla Altis Automatic 1.6,5350000,Faisalabad,2020,17000,Petrol,Automatic,Islamabad,Super White,Local,1600,High,Low
84,Honda Civic EXi,1995000,Islamabad,2005,190000,Petrol,Not Available,Islamabad,Black,Local,1500,Low,High
85,Hyundai Tucson AWD A/T Ultimate,7380000,Mirpur ak,2020,32000,Petrol,Automatic,Islamabad,Polar White,Local,2000,High,Low
86,Honda Vezel Hybrid Z,7695000,Lahore,2019,69000,Hybrid,Automatic,Un-Registered,Black,Imported,1500,High,Medium
87,Toyota Land Cruiser ZX,47000000,Lahore,2018,17000,Petrol,Automatic,Un-Registered,White,Imported,4600,High,Low
88,Toyota Yaris Hatchback,4410000,Karachi,2021,78000,Petrol,Automatic,Un-Registered,White,Imported,1000,High,Medium
89,Toyota Yaris Hatchback,4325000,Karachi,2021,89000,Petrol,Automatic,Un-Registered,Silver,Imported,1000,High,Medium
90,Honda Civic Oriel 1.8 i-VTEC CVT,5255000,Islamabad,2018,114000,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,High,High
93,Toyota Corolla Altis X Automatic 1.6,5150000,Karachi,2021,40000,Petrol,Automatic,Sindh,White,Local,1600,High,Low
94,Honda Civic Oriel 1.8 i-VTEC CVT,4750000,Multan,2016,108000,Petrol,Automatic,Islamabad,White,Local,1800,High,High
96,Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior,6850000,Karachi,2022,41000,Petrol,Automatic,Sindh,Attitude Black,Local,1800,High,Low
97,Toyota Corolla XLi VVTi,2970000,Islamabad,2014,190000,Petrol,Not Available,Lahore,Black,Local,1300,Medium,High
98,Mercedes Benz C Class C180,3800000,Lahore,2006,157355,Petrol,Automatic,Lahore,Iridium Silver,Local,1800,Medium,High
100,Toyota Corolla,2150000,Islamabad,1998,123,Petrol,Automatic,Islamabad,Silver,Imported,1500,Low,Low
101,Toyota Corolla GLi 1.3 VVTi,3800000,Lahore,2017,79984,Petrol,Not Available,Punjab,White,Local,1300,Medium,Medium
102,Suzuki Mehran VX (CNG),600000,Lahore,2008,100000,Not Available,Not Available,Lahore,Blue,Local,800,Low,Medium
104,Toyota Aqua S,3300000,Karachi,2012,150,Hybrid,Automatic,Karachi,Grey,Imported,1500,Medium,Low
105,Suzuki Mehran VXR (CNG),730000,Rawalpindi,2005,106000,Petrol,Not Available,Islamabad,White,Local,800,Low,High
109,Honda Civic 1.8 i-VTEC CVT,6600000,Islamabad,2021,27000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Low
110,Honda City i-DSI,1385000,Sialkot,2006,200000,Petrol,Not Available,Lahore,Crystal Black,Local,1300,Low,High
111,Suzuki Alto VXR,2465000,Karachi,2022,21300,Petrol,Not Available,Sindh,White,Local,660,Medium,Low
112,Honda Civic VTi Oriel 1.8 i-VTEC,2300000,Lahore,2009,174000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Medium,High
114,Toyota Prado TX L Package 2.7,26600000,Lahore,2019,19000,Petrol,Automatic,Un-Registered,Black,Imported,2700,High,Low
116,Toyota Aqua S,3750000,Islamabad,2013,210000,Hybrid,Automatic,Lahore,Grey,Imported,1500,Medium,High
117,Toyota Land Cruiser ZX,24200000,Lahore,2011,89000,Petrol,Automatic,Punjab,Black,Imported,4600,High,Medium
118,Toyota Prado TX 2.7,7550000,Karachi,2007,99000,Petrol,Automatic,Sindh,Crystal Pearl,Imported,2700,High,Medium
119,Honda Civic VTi Oriel 1.6,1590000,Islamabad,2005,170000,Petrol,Not Available,Lahore,Grey,Local,1600,Low,High
122,Suzuki Alto VXR,1200000,Multan,2012,60000,Petrol,Not Available,Punjab,Solid White,Local,1000,Low,Medium
130,Honda N Wgn G,3985000,Lahore,2023,3000,Petrol,Automatic,Un-Registered,Green,Imported,660,Medium,Low
131,Toyota Corolla Altis Automatic 1.6,5100000,Gujrat,2020,110000,Petrol,Automatic,Islamabad,Super White,Local,1600,High,High
132,Honda Vezel Hybrid Z,5200000,Lahore,2016,130000,Hybrid,Automatic,Islamabad,Blue,Imported,1500,High,High
133,Toyota Aqua S,5250000,Karachi,2017,85000,Hybrid,Automatic,Sindh,Silver,Imported,1500,High,Medium
136,Honda Civic VTi Oriel 1.8 i-VTEC,2200000,Narowal,2009,88000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Low,Medium
140,Toyota C-HR G-LED,0,Lahore,2019,48000,Hybrid,Automatic,Un-Registered,White Pearl,Imported,1800,Low,Low
142,Suzuki Wagon R VXL,3325000,Lahore,2022,17000,Petrol,Not Available,Islamabad,Solid White,Local,1000,Medium,Low
145,Toyota Vitz F 1.0,2290000,Lahore,2010,130000,Petrol,Automatic,Lahore,Black Sand Pearl,Imported,1000,Medium,High
150,Toyota Corolla Altis Automatic 1.6,4150000,Swabi,2016,97000,Petrol,Automatic,Islamabad,Bronze,Local,1600,High,Medium
151,Suzuki Alto VXL AGS,3100000,Sialkot,2023,7500,Petrol,Automatic,Punjab,Solid White,Local,660,Medium,Low
154,Honda Civic VTi Prosmatec 1.8 i-VTEC,3100000,Islamabad,2006,240000,Petrol,Automatic,Islamabad,Silver,Imported,1800,Medium,High
155,Honda Civic Oriel 1.8 i-VTEC CVT,6600000,Lahore,2021,12000,Petrol,Automatic,Punjab,White,Local,1800,High,Low
156,Honda Civic VTi 1.8 i-VTEC,2150000,Lahore,2008,230000,Petrol,Not Available,Lahore,Crystal Black,Local,1800,Low,High
157,Honda Vezel Hybrid Z,5900000,Islamabad,2016,140000,Hybrid,Automatic,Lahore,White,Imported,1500,High,High
159,Suzuki Cultus Limited Edition,1500000,Lahore,2014,90000,Petrol,Not Available,Lahore,Grey,Local,1000,Low,Medium
160,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3450000,Bhalwal,2014,155000,Petrol,Automatic,Islamabad,Gun Matlic,Local,1800,Medium,High
162,Toyota Fortuner 2.8 Sigma 4,14000000,Rawalpindi,2020,37000,Diesel,Automatic,Islamabad,Super White,Local,2800,High,Low
164,Toyota Corolla,8600000,Peshawar,2018,31000,Petrol,Automatic,Un-Registered,Beige,Imported,1500,High,Low
166,Honda N Wgn G,3449000,Gujranwala,2021,55000,Petrol,Automatic,Un-Registered,Blue,Imported,660,Medium,Medium
167,Honda City 1.3 i-VTEC,2550000,Islamabad,2010,117700,Petrol,Not Available,Islamabad,Silver,Local,1300,Medium,High
168,Honda Civic Oriel 1.8 i-VTEC CVT,7200000,Islamabad,2022,15500,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Low
169,KIA Sportage AWD,7150000,Rawalpindi,2020,69000,Petrol,Automatic,Islamabad,White,Local,2000,High,Medium
171,Suzuki Cultus VXL,3300000,Multan,2020,29000,Petrol,Not Available,Punjab,White,Local,1000,Medium,Low
174,Suzuki Alto VXL AGS,2800000,Gujrat,2022,19900,Petrol,Automatic,Islamabad,White,Local,660,Medium,Low
175,Honda City EXi,1100000,Lahore,2002,200000,Petrol,Not Available,Lahore,Turquoise,Local,1300,Low,High
179,Suzuki Mehran VXR,635000,Rawalpindi,2011,100,Petrol,Not Available,Karachi,White,Local,800,Low,Low
180,Suzuki Cultus EURO II,1550000,Faisalabad,2015,60000,Petrol,Not Available,Lahore,Silky Silver,Local,1000,Low,Medium
183,Toyota Corolla GLi 1.3 VVTi,2850000,Chashma,2011,105300,Petrol,Not Available,Islamabad,Silver Metallic,Local,1300,Medium,High
184,Suzuki Cultus Limited Edition,1650000,Karachi,2016,51000,Petrol,Not Available,Karachi,White,Local,1000,Low,Medium
188,Honda Civic Oriel 1.8 i-VTEC CVT,5250000,Rawalpindi,2017,100000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Medium
189,Suzuki Swift DLX 1.3,1960000,Lahore,2016,66000,Petrol,Not Available,Lahore,White,Local,1300,Low,Medium
191,Suzuki Mehran VX,840000,Rawalpindi,2011,108080,Petrol,Not Available,Islamabad,White,Local,800,Low,High
193,Honda City 1.3 i-VTEC Prosmatec,3875000,Lahore,2020,51100,Petrol,Automatic,Lahore,Silver,Local,1300,Medium,Medium
195,Suzuki Alto VX,2550000,Karachi,2013,2000,Petrol,Not Available,Un-Registered,White,Local,660,Medium,Low
197,Honda Civic Oriel 1.8 i-VTEC CVT,6100000,Hyderabad,2020,38000,Petrol,Automatic,Karachi,White,Local,1800,High,Low
198,Toyota Prado TX L Package 2.7,27799999,Lahore,2019,65000,Petrol,Automatic,Un-Registered,White Pearl Crystal Shine,Imported,2700,High,Medium
199,Toyota Prado TX 2.7,26500000,Lahore,2020,38000,Petrol,Automatic,Un-Registered,Attitude Black Mica,Imported,2700,High,Low
201,Honda Civic Oriel 1.8 i-VTEC CVT,6775000,Islamabad,2022,31000,Petrol,Automatic,Islamabad,Taffeta White,Local,1800,High,Low
202,Honda City EXi,850000,Malakwal,2002,433000,Petrol,Not Available,Mirpur A.K.,Gold,Local,1300,Low,High
203,Toyota Corolla GLi 1.3 VVTi,4300000,Sargodha,2019,86000,Petrol,Not Available,Lahore,Silver Metallic,Local,1300,High,Medium
208,Honda City EXi,1100000,Islamabad,2003,200000,Petrol,Not Available,Muzaffarabad,White,Local,1300,Low,High
210,Toyota Vitz,2450000,Karachi,2012,120000,Petrol,Automatic,Karachi,Grey,Imported,1000,Medium,High
211,Suzuki Alto VXR,890000,Wah cantt,2008,40000,Petrol,Not Available,Punjab,Green,Local,1000,Low,Low
212,Hyundai Elantra GLS,6400000,Rahim yar khan,2022,25000,Petrol,Automatic,Islamabad,Polar White,Local,2000,High,Low
213,Suzuki Mehran VXR Euro II,1635000,Islamabad,2019,27000,Petrol,Not Available,Islamabad,Solid White,Local,796,Low,Low
215,Honda City 1.2L CVT,4450000,Lahore,2023,15000,Petrol,Automatic,Lahore,Metroid Grey,Local,1200,High,Low
216,Hyundai Tucson AWD A/T Ultimate,8700000,Faisalabad,2023,12000,Petrol,Automatic,Islamabad,Polar White,Local,2000,High,Low
217,KIA Sportage FWD,6550000,Lahore,2020,75000,Petrol,Automatic,Islamabad,White,Local,2000,High,Medium
218,Toyota Vitz F 1.0,2595000,Hazro,2010,111599,Petrol,Automatic,Islamabad,White,Imported,1000,Medium,High
220,Toyota Corolla Altis Grande CVT-i 1.8,3975000,Lahore,2014,150000,Petrol,Automatic,Islamabad,Black,Local,1800,Medium,High
221,Toyota Corolla,3950000,Islamabad,2016,115624,Petrol,Automatic,Islamabad,Black,Local,1300,Medium,High
223,Suzuki Mehran VXR Euro II,1365000,Islamabad,2014,22000,Petrol,Not Available,Islamabad,Silky Silver,Local,796,Low,Low
229,MG HS Trophy,6850000,Lahore,2021,32500,Petrol,Automatic,Punjab,White,Imported,1500,High,Low
231,Honda Civic EXi,1400000,Lahore,2005,169000,Petrol,Not Available,Punjab,Blue,Local,1500,Low,High
234,Suzuki Wagon R VXL,2500000,Lahore,2020,170000,Petrol,Not Available,Punjab,Solid White,Local,1000,Medium,High
237,Toyota Corolla GLi Automatic 1.3 VVTi,3400000,Lahore,2015,125000,Petrol,Automatic,Lahore,Attitude Black,Local,1300,Medium,High
238,Honda BR-V i-VTEC S,4600000,Karachi,2019,28000,Petrol,Automatic,Karachi,Modern Steel Metallic,Local,1500,High,Low
239,Toyota Corolla XLi VVTi,2725000,Lahore,2013,185000,Petrol,Not Available,Lahore,Black,Local,1300,Medium,High
241,Honda City EXi,1125000,Islamabad,1999,387000,Petrol,Not Available,Lahore,White,Local,1300,Low,High
242,Suzuki Alto VXR,2425000,Rawalpindi,2021,54400,Petrol,Not Available,Punjab,Solid White,Local,660,Medium,Medium
243,KIA Sportage AWD,7900000,Karachi,2022,23000,Petrol,Automatic,Karachi,Grey,Local,2000,High,Low
244,Toyota Corolla Altis Grande CVT-i 1.8,4900000,Karachi,2017,97000,Petrol,Automatic,Sindh,Super white,Local,1800,High,Medium
246,Honda City Aspire 1.5 i-VTEC,2400000,Lahore,2013,150000,Petrol,Not Available,Lahore,Lunar Silver Metallic,Local,1500,Medium,High
250,Toyota Vitz F 1.0,2135000,Peshawar,2007,115000,Petrol,Automatic,Lahore,Polar White,Imported,1000,Low,High
251,Honda Civic Oriel 1.8 i-VTEC CVT,5045000,Islamabad,2017,102000,Petrol,Automatic,Islamabad,Black,Local,1800,High,High
255,Honda Civic Oriel 1.8 i-VTEC CVT,4485000,Karachi,2017,74000,Petrol,Automatic,Sindh,Crystal Black,Local,1800,High,Medium
256,Honda Civic Oriel 1.8 i-VTEC CVT,6650000,Multan,2021,27000,Petrol,Automatic,Lahore,Black,Local,1800,High,Low
259,Honda Civic Oriel 1.8 i-VTEC CVT,6650000,Multan,2021,20500,Petrol,Automatic,Islamabad,Black,Local,1800,High,Low
262,Toyota Land Cruiser ZX,47000000,Karachi,2019,75000,Petrol,Automatic,Un-Registered,Black,Imported,4600,High,Medium
264,Suzuki Wagon R Hybrid FX,4300000,Rawalpindi,2021,27000,Hybrid,Automatic,Islamabad,Blue,Imported,660,High,Low
265,Suzuki Cultus VXRi,1050000,Karachi,2010,100000,Petrol,Not Available,Karachi,Graphite Grey,Local,1000,Low,Medium
266,Honda Civic VTi 1.6,1575000,Sargodha,2004,135000,Petrol,Not Available,Lahore,Taffeta White,Local,1600,Low,High
268,Honda City 1.3 i-VTEC,3500000,Multan,2019,70000,Petrol,Not Available,Lahore,Taffeta White,Local,1300,Medium,Medium
269,Honda City 1.3 i-VTEC Prosmatec,3900000,Rawalpindi,2019,83000,Petrol,Automatic,Islamabad,Taffeta White,Local,1300,Medium,Medium
270,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3779999,Lahore,2014,85540,Petrol,Automatic,Lahore,Taffeta White,Local,1800,Medium,Medium
272,Suzuki Alto VXR,2550000,Wah cantt,2022,22000,Petrol,Not Available,Islamabad,Solid White,Local,660,Medium,Low
273,Honda Civic Oriel 1.8 i-VTEC CVT,5000000,Karachi,2018,79000,Petrol,Automatic,Karachi,Taffeta White,Local,1800,High,Medium
274,Toyota Corolla Altis Automatic 1.6,5000000,Gujrat,2020,104500,Petrol,Automatic,Islamabad,Super White,Local,1600,High,High
275,Suzuki Mehran VXR,670000,Rawalpindi,2004,150000,Petrol,Not Available,Gujranwala,Red,Local,800,Low,High
276,Suzuki Mehran VX Euro II,1170000,Islamabad,2013,52000,Petrol,Not Available,Lahore,White,Local,800,Low,Medium
279,Suzuki Alto VXR,2535000,Lahore,2022,25000,Petrol,Not Available,Punjab,White,Local,660,Medium,Low
280,Suzuki Mehran VXR Euro II,1280000,Karachi,2017,60000,Petrol,Not Available,Karachi,Graphite Grey,Local,796,Low,Medium
286,Toyota Corolla GLi Automatic 1.6 VVTi,3150000,Islamabad,2012,150000,Petrol,Automatic,Islamabad,Blue,Local,1600,Medium,High
287,Honda City Aspire 1.5 i-VTEC,2750000,Lahore,2014,136000,Petrol,Not Available,Lahore,Grey,Local,1500,Medium,High
289,Suzuki Cultus VXL,3650000,Lahore,2022,18000,Petrol,Not Available,Punjab,White,Local,1000,Medium,Low
290,Suzuki Wagon R VXL,2500000,Islamabad,2019,54800,Petrol,Not Available,Islamabad,White,Local,1000,Medium,Medium
293,Suzuki Bolan VX Euro II,900000,Lahore,2015,86000,Petrol,Not Available,Punjab,Solid White,Local,800,Low,Medium
294,Hyundai Elantra GLS,6225000,Lahore,2022,33000,Petrol,Automatic,Un-Registered,White,Imported,2000,High,Low
296,Toyota Corolla GLi 1.3 VVTi,2500000,Gujranwala,2009,115000,Petrol,Not Available,Punjab,Silver,Local,1300,Medium,High
297,Toyota Corolla GLi Automatic 1.3 VVTi,3725000,Gujar khan,2015,81700,Petrol,Automatic,Islamabad,White,Local,1300,Medium,Medium
298,Toyota Corolla GLi Automatic 1.3 VVTi,3795000,Lahore,2016,71000,Petrol,Automatic,Lahore,Attitude Black,Local,1300,Medium,Medium
301,Suzuki Alto VXL AGS,2750000,Karachi,2022,17000,Petrol,Automatic,Sindh,Graphite Grey,Local,660,Medium,Low
302,Suzuki Alto,1460000,Rawalpindi,2012,70000,Petrol,Not Available,Islamabad,Grey,Local,1000,Low,Medium
303,Toyota Vitz F 1.0,3200000,Kohat,2013,105000,Petrol,Automatic,Islamabad,Polar White,Imported,1000,Medium,High
305,Honda Civic Oriel 1.8 i-VTEC CVT,5900000,Lahore,2020,85000,Petrol,Automatic,Lahore,White,Local,1800,High,Medium
306,Suzuki Alto VXR,1280000,Lahore,2012,113000,Petrol,Not Available,Lahore,Graphite Grey,Local,1000,Low,High
308,KIA Sportage AWD,6350000,Islamabad,2019,63000,Petrol,Automatic,Islamabad,Sparkling Silver,Local,2000,High,Medium
310,Toyota Passo X,2895000,Islamabad,2014,80000,Petrol,Automatic,Lahore,Silver Purple,Imported,1000,Medium,Medium
315,Haval H6 HEV,12600000,Lahore,2024,6,Hybrid,Automatic,Un-Registered,White,Local,1500,High,Low
316,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,4100000,Islamabad,2016,115000,Petrol,Automatic,Karachi,Taffeta White,Local,1800,High,High
318,Haval H6 HEV,12100000,Islamabad,2023,29654,Hybrid,Automatic,Islamabad,Black,Local,1500,High,Low
319,Mercedes Benz C Class C180,3200000,Islamabad,2001,220000,Petrol,Automatic,Islamabad,Blue,Local,1800,Medium,High
320,Toyota Corolla GLi Automatic 1.3 VVTi,3500000,Gujrat,2015,132000,Petrol,Automatic,Islamabad,White,Local,1300,Medium,High
321,Toyota Corolla,4000000,Islamabad,2007,236000,Petrol,Automatic,Islamabad,Silver,Imported,1500,Medium,High
324,Toyota Corolla Altis Automatic 1.6,5200000,Karachi,2021,13500,Petrol,Automatic,Karachi,Super White,Local,1600,High,Low
325,Honda City 1.3 i-VTEC,3450000,Rawat,2019,74120,Petrol,Not Available,Islamabad,Taffeta White,Local,1300,Medium,Medium
327,Suzuki Mehran VX,725000,Karachi,2003,67000,Petrol,Not Available,Karachi,Maroon,Local,800,Low,Medium
328,Honda City i-DSI,1850000,Jaranwala,2006,240000,Petrol,Not Available,Sialkot,Silver,Local,1300,Low,High
330,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3500000,Sargodha,2013,107000,Petrol,Automatic,Punjab,Taffeta White,Local,1800,Medium,High
331,Honda City 1.3 i-VTEC,2850000,Rahim yar khan,2015,102000,Petrol,Not Available,Sindh,Grey,Local,1300,Medium,High
332,Honda Civic VTi Oriel Prosmatec 1.6,2150000,Islamabad,2004,225568,Petrol,Automatic,Rawalpindi,Silver,Local,1600,Low,High
333,Toyota Corolla Altis Grande CVT-i 1.8,4250000,Karachi,2017,91,Petrol,Automatic,Karachi,Black,Local,1800,High,Low
334,Honda Civic,4600000,Abdul hakeem,2017,103000,Petrol,Automatic,Punjab,Black,Local,1800,High,High
337,KIA Sportage AWD,7100000,Karachi,2021,44000,Petrol,Automatic,Karachi,White,Imported,2000,High,Low
339,Honda Civic EXi Prosmatec,1450000,Karachi,2006,146000,Petrol,Automatic,Sindh,Black,Local,1500,Low,High
340,Honda Civic Oriel 1.8 i-VTEC CVT,5300000,Karachi,2019,52000,Petrol,Automatic,Sindh,Modern Steel Metallic,Local,1800,High,Medium
341,Toyota Aqua S,6800000,Karachi,2020,32800,Hybrid,Automatic,Un-Registered,White,Imported,1500,High,Low
343,Honda Civic Oriel 1.8 i-VTEC CVT,4995000,Islamabad,2017,70077,Petrol,Automatic,Islamabad,Lunar Silver Metallic,Local,1800,High,Medium
344,Suzuki Alto VXL AGS,2975000,Rawalpindi,2019,560,Petrol,Automatic,Islamabad,Silver,Local,660,Medium,Low
345,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3190000,Karachi,2013,167000,Petrol,Automatic,Karachi,White,Local,1800,Medium,High
346,KIA Sportage AWD,7600000,Hyderabad,2022,29000,Petrol,Automatic,Karachi,White,Imported,2000,High,Low
348,Hyundai Tucson AWD A/T Ultimate,8800000,Multan,2023,10500,Petrol,Automatic,Punjab,White,Local,2000,High,Low
350,Toyota Vitz F 1.0,3165000,Islamabad,2014,65500,Petrol,Automatic,Islamabad,Silver,Imported,1000,Medium,Medium
355,Toyota Corolla GLi 1.3 VVTi,3400000,Islamabad,2011,85000,Petrol,Not Available,Lahore,Graphite Grey,Local,1300,Medium,Medium
356,Suzuki Mehran VXR Euro II,1220000,Islamabad,2014,79309,Petrol,Not Available,Islamabad,Graphite Grey,Local,796,Low,Medium
357,Suzuki Alto VXR,1480000,Rawalpindi,2012,205000,Petrol,Not Available,Islamabad,Solid White,Local,1000,Low,High
358,Suzuki Mehran VXR,860000,Islamabad,2004,80000,Petrol,Not Available,Punjab,Silver Metallic,Local,800,Low,Medium
360,Suzuki Alto VXR (CNG),900000,Peshawar,2010,300000,Petrol,Not Available,Lahore,Grey,Local,1000,Low,High
361,Honda N Wgn G,3700000,Lahore,2021,20000,Petrol,Automatic,Un-Registered,Black,Imported,660,Medium,Low
364,Honda Civic Oriel 1.8 i-VTEC CVT,6700000,Haripur,2021,51000,Petrol,Automatic,Islamabad,Crystal Black,Local,1800,High,Medium
369,Toyota Passo X,3300000,Lahore,2017,81000,Petrol,Automatic,Lahore,Super White,Imported,1000,Medium,Medium
371,Honda City 1.3 i-VTEC,3150000,Larkana,2017,51000,Petrol,Not Available,Sindh,Taffeta White,Local,1300,Medium,Medium
372,Suzuki Swift DLX 1.3,1864999,Lahore,2014,67000,Petrol,Not Available,Karachi,Grey,Local,1300,Low,Medium
374,Suzuki Mehran VX Euro II,1210000,Islamabad,2015,115000,Petrol,Not Available,Islamabad,Solid White,Local,796,Low,High
376,Toyota Corolla Altis Automatic 1.6,4900000,Sialkot,2020,68000,Petrol,Automatic,Islamabad,Super White,Local,1600,High,Medium
379,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,3550000,Karachi,2014,77000,Petrol,Automatic,Sindh,Alabaster Silver,Local,1800,Medium,Medium
