,title,price,city,model,mileage,fuel_type,transmission,registered,color,assembly,engine_capacity,price_category,mileage_category
43008,Suzuki Cultus VXL,3150000,Gujrat,2020,52000,Petrol,Not Available,Islamabad,Beige,Local,1000,Medium,Medium
43009,Honda N Wgn G,3895000,Lahore,2022,11000,Petrol,Automatic,Lahore,White,Imported,660,Medium,Low
43010,Toyota Corolla GLi 1.3 VVTi,3150000,Abbottabad,2014,119000,Petrol,Not Available,Karachi,Grey,Local,1300,Medium,High
43011,Honda Civic Oriel 1.8 i-VTEC CVT,6025000,Multan,2021,25000,Petrol,Automatic,Karachi,Taffeta White,Local,1800,High,Low
43013,Suzuki Wagon R,3550000,Sialkot,2020,29000,Hybrid,Automatic,Un-Registered,White,Imported,660,Medium,Low
43016,Suzuki Cultus VXL,2270000,Karachi,2017,66500,Petrol,Not Available,Karachi,Beige,Local,1000,Medium,Medium
43018,Toyota Corolla GLi 1.3 VVTi,3900000,Lala musa,2016,72,Petrol,Not Available,Islamabad,White,Local,1300,Medium,Low
43019,Honda Civic 1.8 i-VTEC CVT,5800000,Sialkot,2019,61000,Petrol,Automatic,Lahore,Taffeta White,Local,1800,High,Medium
43021,Toyota Corolla XLi VVTi,3560000,Karachi,2018,94000,Petrol,Not Available,Sindh,White,Local,1300,Medium,Medium
43022,Toyota Corolla GLi 1.3 VVTi,2950000,Hangu,2012,200000,Petrol,Not Available,Lahore,Silver Metallic,Local,1300,Medium,High
43023,Suzuki Wagon R,1800000,Lahore,2007,170000,Petrol,Automatic,Lahore,Black,Imported,660,Low,High
43025,Honda Civic Oriel 1.8 i-VTEC CVT,4850000,Lodhran,2018,75000,Petrol,Automatic,Karachi,Crystal Black,Local,1800,High,Medium
43026,Toyota Corolla,1700000,Rawalpindi,1997,248421,Diesel,Not Available,Islamabad,Silver,Imported,2000,Low,High
43030,Honda City i-DSI,1739999,Peshawar,2006,1,Petrol,Not Available,Lahore,White,Local,1300,Low,Low
43032,Honda City Aspire Prosmatec 1.5 i-VTEC,3450000,Peshawar,2017,92000,Petrol,Automatic,Lahore,White,Local,1500,Medium,Medium
43036,Toyota Corolla Altis Grande CVT-i 1.8,3750000,Abbottabad,2014,135000,Petrol,Automatic,Lahore,Super white,Local,1800,Medium,High
43037,Suzuki Cultus VXR,850000,Mardan,2000,61915,Petrol,Not Available,Islamabad,Turquoise,Local,1000,Low,Medium
43038,Suzuki Mehran VXR,525000,Laliah,2003,28525,Not Available,Not Available,Sindh,Snow White Pearl,Local,800,Low,Low
43041,Toyota Corolla XLi VVTi,2150000,Karachi,2014,90000,Petrol,Not Available,Sindh,Attitude Black,Local,1300,Low,Medium
43042,Honda Civic Oriel 1.8 i-VTEC CVT,5700000,Lahore,2019,98000,Petrol,Automatic,Lahore,Maroon,Local,1800,High,Medium
43043,Toyota Corolla,1150000,Quetta,2000,150000,Diesel,Not Available,Karachi,Grey,Local,2000,Low,High
43044,Suzuki Cultus Limited Edition,1620000,Karachi,2016,72000,Petrol,Not Available,Sindh,Solid White,Local,1000,Low,Medium
43045,Suzuki Mehran VX Euro II,1050000,Lahore,2016,250000,Petrol,Not Available,Lahore,White,Local,800,Low,High
43046,Daihatsu Cuore CX Eco,750000,Hyderabad,2006,10000,Not Available,Not Available,Karachi,White,Local,800,Low,Low
43050,Suzuki Alto VX,930000,Quetta,2009,200000,Petrol,Not Available,Sindh,White,Local,1000,Low,High
43051,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC,2400000,Charsadda,2009,2,Petrol,Automatic,Islamabad,White,Local,1800,Medium,Low
43054,Suzuki Swift DLX Automatic 1.3 Navigation,3375000,Islamabad,2021,25000,Petrol,Automatic,Islamabad,White,Local,1300,Medium,Low
43055,Suzuki Cultus VXRi,1400000,Karachi,2012,14701,Petrol,Not Available,Sindh,Solid White,Local,1000,Low,Low
43056,Honda Civic EXi,1880000,Rawalpindi,2005,230000,Petrol,Not Available,Islamabad,Grey,Local,1500,Low,High
43057,Toyota Corolla GLi 1.3 VVTi,2725000,Lahore,2014,125000,Petrol,Not Available,Punjab,Green,Local,1300,Medium,High
43062,Suzuki Mehran VXR Euro II,1200000,Karore lalisan,2015,55000,Petrol,Not Available,Multan,Solid White,Local,796,Low,Medium
